Hashcat synthetic benchmark suite
  Modes:    6
  Vec widths: [1, 2, 4, 8]
  Trials:   10
  Total runs: 240
  Est. time:  ~40 minutes
  GPU:      Apple M3 Max
  Backend:  Metal
  Hashcat:  v7.1.2-386-g8000b3e60+


--- Mode 0: MD5 ---
  Vec:1 trial 1/10: 18635.7 MH/s
  Vec:1 trial 2/10: 18399.6 MH/s
  Vec:1 trial 3/10: 18789.6 MH/s
  Vec:1 trial 4/10: 18826.7 MH/s
  Vec:1 trial 5/10: 18278.0 MH/s
  Vec:1 trial 6/10: 18814.3 MH/s
  Vec:1 trial 7/10: 18862.9 MH/s
  Vec:1 trial 8/10: 18447.6 MH/s
  Vec:1 trial 9/10: 18761.8 MH/s
  Vec:1 trial 10/10: 18697.0 MH/s
  Vec:2 trial 1/10: 20744.1 MH/s
  Vec:2 trial 2/10: 20368.5 MH/s
  Vec:2 trial 3/10: 20511.5 MH/s
  Vec:2 trial 4/10: 20446.2 MH/s
  Vec:2 trial 5/10: 20379.1 MH/s
  Vec:2 trial 6/10: 20364.4 MH/s
  Vec:2 trial 7/10: 20305.5 MH/s
  Vec:2 trial 8/10: 20421.6 MH/s
  Vec:2 trial 9/10: 20498.1 MH/s
  Vec:2 trial 10/10: 20555.4 MH/s
  Vec:4 trial 1/10: 19949.1 MH/s
  Vec:4 trial 2/10: 19952.7 MH/s
  Vec:4 trial 3/10: 19966.4 MH/s
  Vec:4 trial 4/10: 19977.7 MH/s
  Vec:4 trial 5/10: 19814.2 MH/s
  Vec:4 trial 6/10: 19975.5 MH/s
  Vec:4 trial 7/10: 19984.5 MH/s
  Vec:4 trial 8/10: 20014.5 MH/s
  Vec:4 trial 9/10: 19977.2 MH/s
  Vec:4 trial 10/10: 20011.0 MH/s
  Vec:8 trial 1/10: 19860.5 MH/s
  Vec:8 trial 2/10: 19852.4 MH/s
  Vec:8 trial 3/10: 19907.7 MH/s
  Vec:8 trial 4/10: 19950.0 MH/s
  Vec:8 trial 5/10: 20053.4 MH/s
  Vec:8 trial 6/10: 19944.9 MH/s
  Vec:8 trial 7/10: 19821.7 MH/s
  Vec:8 trial 8/10: 19924.8 MH/s
  Vec:8 trial 9/10: 19979.3 MH/s
  Vec:8 trial 10/10: 19937.5 MH/s

